CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
ALFKI,  alfreds futterkiste  ,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,12209,Germany  ,030-0074321,030-0076545
ANATR,Ana Trujillo Emparedados y helados,ANA  TRUJILLO,Owner,Avda. de la Constituci?n 2222,México D.F.,,05021,MEXICO,(5) 555-4729,(5) 555-3745
ANTON,ANTONIO MORENO TAQUER?A,Antonio  Moreno,Owner,Mataderos  2312,México D.F.,,05023,MEXICO,(5) 555-3932,
AROUT,Around  the  Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,U.K.,(171)  555-7788,(171) 555-6750
BERGS,Berglunds snabbk?p,  CHRISTINA BERGLUND  ,Order Administrator,berguvsv?gen  8,Lule?,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
BLAUS,Blauer  See  Delikatessen,Hanna  Moos,Sales Representative,  FORSTERSTR. 57  ,Mannheim,,,Germany  ,0621-08460,
BLONP,Blondesddsl père et fils,Frédérique  Citeaux,Marketing Manager,"  24, place Kléber  ",Strasbourg,,67000,   FRANCE   ,88.60.15.31,88.60.15.32
BOLID,  B?LIDO COMIDAS PREPARADAS  ,Mart?n Sommer,Owner,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',Laurence  Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008, FRANCE ,91.24.45.40,91.24.45.41
BOTTM,  Bottom-Dollar Markets  ,  Elizabeth Lincoln  ,Accounting Manager,23  tsawassen  blvd.,Tsawassen,BC,,CANADA,(604)  555-4729,(604) 555-3745
BSBEV,B'S  BEVERAGES,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,,U.K.,(171)  555-1212,
CACTU,cactus comidas para llevar,PATRICIO SIMPSON,Sales Agent,Cerrito  333,Buenos Aires,,1010,  Argentina  ,(1) 135-5555,(1) 135-4892
CENTC,centro comercial moctezuma,  FRANCISCO CHANG  ,Marketing Manager,sierras de granada 9993,México D.F.,,05022,MEXICO,(5)  555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,  Yang Wang  ,Owner,Hauptstr.  29,Bern,,,Switzerland,0452-076545,
COMMI,COMÉRCIO MINEIRO,Pedro Afonso,Sales Associate,"Av. dos Lus?adas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,
CONSH,Consolidated Holdings,ELIZABETH BROWN,Sales Representative,  Berkeley Gardens 12  Brewery  ,London,,WX1 6LT,U.K.,(171) 555-2282,
DRACD,DRACHENBLUT  DELIKATESSEN,Sven  Ottlieb,Order Administrator,Walserweg  21,Aachen,,52066,Germany  ,0241-039123,0241-059428
DUMON,Du monde entier,janine labrune,Owner,"67, rue des Cinquante Otages",Nantes,,44000,  FRANCE  ,40.67.88.88,40.67.89.89
EASTC,Eastern Connection,Ann Devon,Sales Agent,35  King  George,London,,WX3 6FW,U.K.,(171) 555-0297,(171) 555-3373
ERNSH,Ernst Handel,  roland mendel  ,Sales Manager,Kirchgasse  6,Graz,,8010,Austria,7675-3425,7675-3426
FAMIA,Familia Arquibaldo,aria cruz,Marketing Assistant,"Rua Or?s, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/  Moralzarzal,  86",Madrid,,28034,Spain,  (91) 555 94 44  ,
FOLIG,  FOLIES GOURMANDES  ,MARTINE RANCÉ,Assistant Sales Agent,"184, CHAUSSÉE DE TOURNAI",Lille,,59000,  FRANCE  ,20.16.10.16,20.16.10.17
FOLKO,  Folk och f? HB  ,maria larsson,Owner,?kergatan 24,Br?cke,,S-844 67,Sweden,0695-34 67 21,
FRANK,  Frankenversand  ,Peter Franken,,BERLINER  PLATZ  43,München,,,Germany  ,  089-0877310  ,089-0877451
FRANR,France  restauration,  CARINE SCHMITT  ,Marketing Manager,"54, RUE ROYALE",Nantes,,44000, FRANCE ,40.32.21.21,40.32.21.20
