EmployeeID,LastName,FirstName,Title,TitleOfCourtesy,BirthDate,HireDate,Address,City,Region,PostalCode,Country,HomePhone,Extension,Notes,ReportsTo,PhotoPath
1,Davolio,Nancy,Sales Representative,Ms.,1948-12-08,1992-05-01,507 - 20Th Ave. E.Apt. 2A,Seattle,Wa,98122,Usa,(206) 555-9857,5467,"Education Includes A Ba In Psychology From Colorado State University In 1970. She Also Completed ""The Art Of The Cold Call."" Nancy Is A Member Of Toastmasters International.",2,http://accweb/emmployees/davolio.bmp
2,Fuller,Andrew,"Vice President, Sales",Unknown,1952-02-19,1992-08-14,908 W. Capital Way,Tacoma,Wa,98401,Usa,(206) 555-9482,3457,"Andrew Received His Bts Commercial In 1974 And A Ph.D. In International Marketing From The University Of Dallas In 1981. He Is Fluent In French And Italian And Reads German. He Joined The Company As A Sales Representative, Was Promoted To Sales Manager In January 1992 And To Vice President Of Sales In March 1993. Andrew Is A Member Of The Sales Management Roundtable, The Seattle Chamber Of Commerce, And The Pacific Rim Importers Association.",0,http://accweb/emmployees/fuller.bmp
3,Leverling,Janet,Sales Representative,Ms.,1963-08-30,1992-04-01,722 Moss Bay Blvd.,Kirkland,Wa,98033,Usa,(206) 555-3412,3355,Janet Has A Bs Degree In Chemistry From Boston College (1984). She Has Also Completed A Certificate Program In Food Retailing Management. Janet Was Hired As A Sales Associate In 1991 And Promoted To Sales Representative In February 1992.,2,http://accweb/emmployees/leverling.bmp
4,Peacock,Margaret,Sales Representative,Mrs.,1937-09-19,1993-05-03,4110 Old Redmond Rd.,Redmond,Wa,98052,Usa,(206) 555-8122,5176,No notes available,2,http://accweb/emmployees/peacock.bmp
5,Buchanan,Steven,Sales Manager,Mr.,1955-03-04,1993-10-17,14 Garrett Hill,London,Unknown,Sw1 8Jr,Uk,(71) 555-4848,3453,"Steven Buchanan Graduated From St. Andrews University, Scotland, With A Bsc Degree In 1976. Upon Joining The Company As A Sales Representative In 1992, He Spent 6 Months In An Orientation Program At The Seattle Office And Then Returned To His Permanent Post In London. He Was Promoted To Sales Manager In March 1993. Mr. Buchanan Has Completed The Courses ""Successful Telemarketing"" And ""International Sales Management."" He Is Fluent In French.",2,http://accweb/emmployees/buchanan.bmp
6,Suyama,Michael,Sales Representative,Mr.,1963-07-02,1993-10-17,Coventry House Miner Rd.,London,Unknown,Ec2 7Jr,Uk,(71) 555-7773,428,"Michael Is A Graduate Of Sussex University (Ma, Economics, 1983) And The University Of California At Los Angeles (Mba, Marketing, 1986). He Has Also Taken The Courses ""Multi-Cultural Selling"" And ""Time Management For The Sales Professional."" He Is Fluent In Japanese And Can Read And Write French, Portuguese, And Spanish.",5,http://accweb/emmployees/davolio.bmp
7,King,Robert,Sales Representative,Mr.,1960-05-29,1994-01-02,Edgeham Hollow Winchester Way,London,Unknown,Rg1 9Sp,Uk,(71) 555-5598,465,"Robert King Served In The Peace Corps And Traveled Extensively Before Completing His Degree In English At The University Of Michigan In 1992, The Year He Joined The Company. After Completing A Course Entitled ""Selling In Europe,"" He Was Transferred To The London Office In March 1993.",5,http://accweb/emmployees/davolio.bmp
8,Callahan,Laura,Inside Sales Coordinator,Ms.,1958-01-09,1994-03-05,4726 - 11Th Ave. N.E.,Seattle,Wa,98105,Usa,(206) 555-1189,2344,Laura Received A Ba In Psychology From The University Of Washington. She Has Also Completed A Course In Business French. She Reads And Writes French.,2,http://accweb/emmployees/davolio.bmp
9,Dodsworth,Anne,Sales Representative,Ms.,1966-01-27,1994-11-15,7 Houndstooth Rd.,London,Unknown,Wg2 7Lt,Uk,(71) 555-4444,452,No notes available,5,http://accweb/emmployees/davolio.bmp
10,Invalid,Unknown,Sales Assistant,Unknown,,2028-01-01,123 Fake St.,Metropolis,Unknown,00000,Usa,Phone Number Not Numeric 123,9999,No notes available,15,No path available
